Comment[mztab:metadata:assay:id]	Comment[mztab:metadata:sample:id]	Comment[mztab:metadata:ms_run:id]	Comment[mztab:metadata:ms_run:name]	Comment[mztab:metadata:ms_run:instrument:id]	Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Parameter Value[Native spectrum identifier format]	Term Source REF	Term Accession Number	Parameter Value[Raw data file format]	Term Source REF	Term Accession Number	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
1	1	1			3injections_inj1	Extraction			3injections_inj1_POS					Mass spectrometry	positive											1		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3injections_inj1_POS.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
2	2	2			3injections_inj2	Extraction			3injections_inj2_POS					Mass spectrometry	positive											2		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3injections_inj2_POS.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
3	3	3			3injections_inj3	Extraction			3injections_inj3_POS					Mass spectrometry	positive											3		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3injections_inj3_POS.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
4	4	4			3samples_sampl1	Extraction			3samples_sampl1_POS					Mass spectrometry	positive											4		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3samples_sampl1_POS.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
5	5	5			3samples_sampl2	Extraction			3samples_sampl2_POS					Mass spectrometry	positive											5		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3samples_sampl2_POS.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
6	6	6			3samples_sampl3	Extraction			3samples_sampl3_POS					Mass spectrometry	positive											6		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3samples_sampl3_POS.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
7	1	7			3injections_inj1	Extraction			3injections_inj1_NEG					Mass spectrometry	negative											7		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3injections_inj1_NEG.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
8	2	8			3injections_inj2	Extraction			3injections_inj2_NEG					Mass spectrometry	negative											8		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3injections_inj2_NEG.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
9	3	9			3injections_inj3	Extraction			3injections_inj3_NEG					Mass spectrometry	negative											9		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3injections_inj3_NEG.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
10	4	10			3samples_sampl1	Extraction			3samples_sampl1_NEG					Mass spectrometry	negative											10		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3samples_sampl1_NEG.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
11	5	11			3samples_sampl2	Extraction			3samples_sampl2_NEG					Mass spectrometry	negative											11		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3samples_sampl2_NEG.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
12	6	12			3samples_sampl3	Extraction			3samples_sampl3_NEG					Mass spectrometry	negative											12		Data transformation					mzML file	MS	http://purl.obolibrary.org/obo/MS_1000584	FILES/3samples_sampl3_NEG.mzML	Metabolite identification		m_REQ2025110600001_metabolite_profiling_v2_maf.tsv
