Comment[mztab:metadata:assay:id]	Comment[mztab:metadata:sample:id]	Comment[mztab:metadata:ms_run:id]	Comment[mztab:metadata:ms_run:name]	Comment[mztab:metadata:ms_run:instrument:id]	Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
1	1	1			2025_10_07_Zambonilab2192_044_P21M4	Extraction			Assay_1					Mass spectrometry	positive											1		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
2	2	2			2025_10_07_Zambonilab2192_047_P28M1	Extraction			Assay_2					Mass spectrometry	positive											2		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
3	3	3			2025_10_07_Zambonilab2192_017_QC2	Extraction			Assay_3					Mass spectrometry	positive											3		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
4	4	4			2025_10_07_Zambonilab2192_048_P21F2	Extraction			Assay_4					Mass spectrometry	positive											4		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
5	5	5			2025_10_07_Zambonilab2192_007_P28TNM1	Extraction			Assay_5					Mass spectrometry	positive											5		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
6	6	6			2025_10_07_Zambonilab2192_027_P21EWM2	Extraction			Assay_6					Mass spectrometry	positive											6		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
7	7	7			2025_10_07_Zambonilab2192_058_P21F3	Extraction			Assay_7					Mass spectrometry	positive											7		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
8	8	8			2025_10_07_Zambonilab2192_039_P21EWF4	Extraction			Assay_8					Mass spectrometry	positive											8		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
9	9	9			2025_10_07_Zambonilab2192_075_blank6	Extraction			Assay_9					Mass spectrometry	positive											9		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
10	10	10			2025_10_07_Zambonilab2192_069_P21M2	Extraction			Assay_10					Mass spectrometry	positive											10		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
11	11	11			2025_10_07_Zambonilab2192_001_blank1	Extraction			Assay_11					Mass spectrometry	positive											11		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
12	12	12			2025_10_07_Zambonilab2192_003_blank3	Extraction			Assay_12					Mass spectrometry	positive											12		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
13	13	13			2025_10_07_Zambonilab2192_018_P21F4	Extraction			Assay_13					Mass spectrometry	positive											13		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
14	14	14			2025_10_07_Zambonilab2192_028_P28TNF2	Extraction			Assay_14					Mass spectrometry	positive											14		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
15	15	15			2025_10_07_Zambonilab2192_009_P15F5	Extraction			Assay_15					Mass spectrometry	positive											15		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
16	16	16			2025_10_07_Zambonilab2192_008_P15F1	Extraction			Assay_16					Mass spectrometry	positive											16		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
17	17	17			2025_10_07_Zambonilab2192_035_P28TNF3	Extraction			Assay_17					Mass spectrometry	positive											17		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
18	18	18			2025_10_07_Zambonilab2192_040_P28M4	Extraction			Assay_18					Mass spectrometry	positive											18		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
19	19	19			2025_10_07_Zambonilab2192_033_P15M2	Extraction			Assay_19					Mass spectrometry	positive											19		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
20	20	20			2025_10_07_Zambonilab2192_067_P15M1	Extraction			Assay_20					Mass spectrometry	positive											20		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
21	21	21			2025_10_07_Zambonilab2192_024_P15F2	Extraction			Assay_21					Mass spectrometry	positive											21		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
22	22	22			2025_10_07_Zambonilab2192_063_P21EWM3	Extraction			Assay_22					Mass spectrometry	positive											22		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
23	23	23			2025_10_07_Zambonilab2192_061_P15F8	Extraction			Assay_23					Mass spectrometry	positive											23		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
24	24	24			2025_10_07_Zambonilab2192_030_P21M5	Extraction			Assay_24					Mass spectrometry	positive											24		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
