Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Comment[mztab:metadata:sample:id]	Comment[mztab:metadata:sample:description]
2025_10_07_Zambonilab2192_044_P21M4													Sample collection	2025_10_07_Zambonilab2192_044_P21M4	1	2025_10_07_Zambonilab2192_044_P21M4
2025_10_07_Zambonilab2192_047_P28M1													Sample collection	2025_10_07_Zambonilab2192_047_P28M1	2	2025_10_07_Zambonilab2192_047_P28M1
2025_10_07_Zambonilab2192_017_QC2													Sample collection	2025_10_07_Zambonilab2192_017_QC2	3	2025_10_07_Zambonilab2192_017_QC2
2025_10_07_Zambonilab2192_048_P21F2													Sample collection	2025_10_07_Zambonilab2192_048_P21F2	4	2025_10_07_Zambonilab2192_048_P21F2
2025_10_07_Zambonilab2192_007_P28TNM1													Sample collection	2025_10_07_Zambonilab2192_007_P28TNM1	5	2025_10_07_Zambonilab2192_007_P28TNM1
2025_10_07_Zambonilab2192_027_P21EWM2													Sample collection	2025_10_07_Zambonilab2192_027_P21EWM2	6	2025_10_07_Zambonilab2192_027_P21EWM2
2025_10_07_Zambonilab2192_058_P21F3													Sample collection	2025_10_07_Zambonilab2192_058_P21F3	7	2025_10_07_Zambonilab2192_058_P21F3
2025_10_07_Zambonilab2192_039_P21EWF4													Sample collection	2025_10_07_Zambonilab2192_039_P21EWF4	8	2025_10_07_Zambonilab2192_039_P21EWF4
2025_10_07_Zambonilab2192_075_blank6													Sample collection	2025_10_07_Zambonilab2192_075_blank6	9	2025_10_07_Zambonilab2192_075_blank6
2025_10_07_Zambonilab2192_069_P21M2													Sample collection	2025_10_07_Zambonilab2192_069_P21M2	10	2025_10_07_Zambonilab2192_069_P21M2
2025_10_07_Zambonilab2192_001_blank1													Sample collection	2025_10_07_Zambonilab2192_001_blank1	11	2025_10_07_Zambonilab2192_001_blank1
2025_10_07_Zambonilab2192_003_blank3													Sample collection	2025_10_07_Zambonilab2192_003_blank3	12	2025_10_07_Zambonilab2192_003_blank3
2025_10_07_Zambonilab2192_018_P21F4													Sample collection	2025_10_07_Zambonilab2192_018_P21F4	13	2025_10_07_Zambonilab2192_018_P21F4
2025_10_07_Zambonilab2192_028_P28TNF2													Sample collection	2025_10_07_Zambonilab2192_028_P28TNF2	14	2025_10_07_Zambonilab2192_028_P28TNF2
2025_10_07_Zambonilab2192_009_P15F5													Sample collection	2025_10_07_Zambonilab2192_009_P15F5	15	2025_10_07_Zambonilab2192_009_P15F5
2025_10_07_Zambonilab2192_008_P15F1													Sample collection	2025_10_07_Zambonilab2192_008_P15F1	16	2025_10_07_Zambonilab2192_008_P15F1
2025_10_07_Zambonilab2192_035_P28TNF3													Sample collection	2025_10_07_Zambonilab2192_035_P28TNF3	17	2025_10_07_Zambonilab2192_035_P28TNF3
2025_10_07_Zambonilab2192_040_P28M4													Sample collection	2025_10_07_Zambonilab2192_040_P28M4	18	2025_10_07_Zambonilab2192_040_P28M4
2025_10_07_Zambonilab2192_033_P15M2													Sample collection	2025_10_07_Zambonilab2192_033_P15M2	19	2025_10_07_Zambonilab2192_033_P15M2
2025_10_07_Zambonilab2192_067_P15M1													Sample collection	2025_10_07_Zambonilab2192_067_P15M1	20	2025_10_07_Zambonilab2192_067_P15M1
2025_10_07_Zambonilab2192_024_P15F2													Sample collection	2025_10_07_Zambonilab2192_024_P15F2	21	2025_10_07_Zambonilab2192_024_P15F2
