"Comment[mztab:metadata:assay:id]"	"Comment[mztab:metadata:sample:id]"	"Comment[mztab:metadata:ms_run:id]"	"Comment[mztab:metadata:ms_run:name]"	"Comment[mztab:metadata:ms_run:instrument:id]"	"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Parameter Value[Data file checksum]"	"Parameter Value[Data file checksum type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Native spectrum identifier format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Raw data file format]"	"Term Source REF"	"Term Accession Number"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"1"	"1"	"1"	""	""	"M11081707"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"1"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081707.mzml"	"Metabolite identification"	""	""
"2"	"2"	"2"	""	""	"M11062901"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"2"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062901.mzml"	"Metabolite identification"	""	""
"3"	"3"	"3"	""	""	"M11050509"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"3"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050509.mzml"	"Metabolite identification"	""	""
"4"	"4"	"4"	""	""	"M11060206"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"4"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060206.mzml"	"Metabolite identification"	""	""
"5"	"5"	"5"	""	""	"M11081309"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"5"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081309.mzml"	"Metabolite identification"	""	""
"6"	"6"	"6"	""	""	"M11052802"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"6"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052802.mzml"	"Metabolite identification"	""	""
"7"	"7"	"7"	""	""	"M11073009"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"7"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11073009.mzml"	"Metabolite identification"	""	""
"8"	"8"	"8"	""	""	"M11052503"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"8"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052503.mzml"	"Metabolite identification"	""	""
"9"	"9"	"9"	""	""	"M11060917"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"9"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060917.mzml"	"Metabolite identification"	""	""
"10"	"10"	"10"	""	""	"M11062510"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"10"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062510.mzml"	"Metabolite identification"	""	""
"11"	"11"	"11"	""	""	"M11061601"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"11"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061601.mzml"	"Metabolite identification"	""	""
